Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2886907,Thermo Fisher Scientific Inc,TMO,0.26%,Life Sciences Tools & Services,US,---,"$37,880,726.49","71,523"
,B2PKRQ3,Philip Morris International Inc,PM,0.26%,Tobacco,US,---,"$37,721,977.76","283,496"
,BYV2325,S&P Global Inc,SPGI,0.25%,Financial Exchanges & Data,US,---,"$36,299,292.21","69,471"
,2113434,Boston Scientific Corp,BSX,0.25%,Health Care Equipment,US,---,"$36,170,892.18","398,973"
,2671501,Parker-Hannifin Corp,PH,0.24%,Industrial Machinery & Supplies & Components,US,---,"$34,719,745.50","49,395"
,B11FJK3,TransDigm Group Inc,TDG,0.24%,Aerospace & Defense,US,---,"$34,649,632.38","27,654"
,2842255,Starbucks Corp,SBUX,0.23%,Restaurants,US,---,"$33,744,996.08","329,348"
,2261203,Deere & Co,DE,0.23%,Agricultural & Farm Machinery,US,---,"$33,557,379.30","72,027"
,2885409,Texas Instruments Inc,TXN,0.23%,Semiconductors,US,---,"$33,494,211.39","166,613"
,2210614,Marriott International Inc/MD,MAR,0.23%,"Hotels, Resorts & Cruise Lines",US,---,"$33,276,860.81","115,109"
,2914734,Union Pacific Corp,UNP,0.23%,Rail Transportation,US,---,"$33,069,958.22","135,167"
,2342034,Fiserv Inc,FI,0.23%,Transaction & Payment Processing Services,US,---,"$32,598,449.76","147,531"
,BK9ZQ96,Trane Technologies PLC,TT,0.22%,Building Products,US,---,"$31,939,057.92","76,736"
,2032067,Analog Devices Inc,ADI,0.22%,Semiconductors,US,---,"$31,482,931.20","144,384"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.21%,"Hotels, Resorts & Cruise Lines",US,---,"$30,772,177.92","121,418"
,B5B2106,Fortinet Inc,FTNT,0.21%,Systems Software,US,---,"$29,732,685.55","312,811"
,2567741,Marsh & McLennan Cos Inc,MMC,0.20%,Insurance Brokers,US,---,"$29,381,149.25","125,975"
,2330299,Fair Isaac Corp,FICO,0.20%,Application Software,US,---,"$28,699,862.52","12,084"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.20%,"Hotels, Resorts & Cruise Lines",US,---,"$28,467,890.58","116,643"
,2134781,United Rentals Inc,URI,0.20%,Trading Companies & Distributors,US,---,"$28,441,172.00","32,842"
