Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 10/31/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B11FJK3,TransDigm Group Inc,TDG,0.27%,Aerospace & Defense,US,---,"$35,083,962.00","26,940"
,2705024,Progressive Corp/The,PGR,0.26%,Property & Casualty Insurance,US,---,"$34,143,597.81","140,607"
,2885409,Texas Instruments Inc,TXN,0.25%,Semiconductors,US,---,"$32,943,612.96","162,156"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.25%,Systems Software,US,---,"$32,900,320.88","110,824"
,2113434,Boston Scientific Corp,BSX,0.25%,Health Care Equipment,US,---,"$32,652,608.58","388,629"
,BYV2325,S&P Global Inc,SPGI,0.25%,Financial Exchanges & Data,US,---,"$32,480,502.12","67,617"
,2032067,Analog Devices Inc,ADI,0.24%,Semiconductors,US,---,"$31,345,393.23","140,493"
,2842255,Starbucks Corp,SBUX,0.24%,Restaurants,US,---,"$31,345,188.70","320,831"
,2914734,Union Pacific Corp,UNP,0.23%,Rail Transportation,US,---,"$30,519,061.56","131,508"
,2671501,Parker-Hannifin Corp,PH,0.23%,Industrial Machinery & Supplies & Components,US,---,"$30,511,448.40","48,120"
,2210614,Marriott International Inc/MD,MAR,0.22%,"Hotels, Resorts & Cruise Lines",US,---,"$29,161,243.00","112,150"
,2342034,Fiserv Inc,FI,0.22%,Transaction & Payment Processing Services,US,---,"$28,439,417.40","143,706"
,2261203,Deere & Co,DE,0.21%,Agricultural & Farm Machinery,US,---,"$28,388,194.12","70,148"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.21%,"Hotels, Resorts & Cruise Lines",US,---,"$27,772,421.60","118,256"
,BK9ZQ96,Trane Technologies PLC,TT,0.21%,Building Products,US,---,"$27,668,349.52","74,747"
,2567741,Marsh & McLennan Cos Inc,MMC,0.20%,Insurance Brokers,US,---,"$26,780,448.64","122,711"
,2134781,United Rentals Inc,URI,0.20%,Trading Companies & Distributors,US,---,"$25,989,280.00","31,975"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.19%,Biotechnology,US,---,"$25,614,553.80","30,559"
,B5B2106,Fortinet Inc,FTNT,0.18%,Systems Software,US,---,"$23,967,859.32","304,702"
,2250687,DR Horton Inc,DHI,0.18%,Homebuilding,US,---,"$23,802,298.00","140,842"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.18%,Automotive Retail,US,---,"$23,450,255.04","20,336"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.18%,"Hotels, Resorts & Cruise Lines",US,---,"$23,448,375.90","113,634"
,2330299,Fair Isaac Corp,FICO,0.18%,Application Software,US,---,"$23,444,952.93","11,763"
,2108601,Boeing Co/The,BA,0.17%,Aerospace & Defense,US,---,"$23,033,904.39","154,269"
,2746711,Ross Stores Inc,ROST,0.17%,Apparel Retail,US,---,"$22,365,679.00","160,075"
,2065308,Automatic Data Processing Inc,ADP,0.17%,Human Resource & Employment Services,US,---,"$22,073,639.84","76,316"
,2318024,EOG Resources Inc,EOG,0.17%,Oil & Gas Exploration & Production,US,---,"$21,963,776.40","180,090"
,2145084,Amphenol Corp,APH,0.16%,Electronic Components,US,---,"$21,689,548.56","323,628"
,2208073,Copart Inc,CPRT,0.16%,Diversified Support Services,US,---,"$21,628,671.93","420,219"
,B505PN7,NXP Semiconductors NV,NXPI,0.16%,Semiconductors,US,---,"$21,499,663.50","91,683"
,B95WG16,Zoetis Inc,ZTS,0.16%,Pharmaceuticals,US,---,"$21,372,612.66","119,547"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.16%,Communications Equipment,US,---,"$20,863,320.50","46,430"
,BZ8VJQ8,Vistra Corp,VST,0.16%,Independent Power Producers & Energy Traders,US,---,"$20,592,158.40","164,790"
,2804211,Sherwin-Williams Co/The,SHW,0.15%,Specialty Chemicals,US,---,"$19,978,107.45","55,685"
,B7FBFL2,American Tower Corp,AMT,0.15%,Telecom Tower REITs,US,---,"$19,625,180.16","91,904"
,BLP1HW5,Aon PLC,AON,0.15%,Insurance Brokers,US,---,"$19,503,909.81","53,163"
,BVLZX12,Equinix Inc,EQIX,0.15%,Data Center REITs,US,---,"$19,436,544.32","21,404"
,2665861,PACCAR Inc,PCAR,0.14%,Construction Machinery & Heavy Transportation Equipment,US,---,"$19,144,973.76","183,592"
,2640147,NIKE Inc,NKE,0.14%,Footwear,US,---,"$19,116,747.63","247,851"
,2197137,Cintas Corp,CTAS,0.14%,Diversified Support Services,US,---,"$18,605,635.62","90,402"
,2372763,Gartner Inc,IT,0.14%,IT Consulting & Other Services,US,---,"$18,572,902.50","36,961"
,B8CKK03,Mondelez International Inc,MDLZ,0.14%,Packaged Foods & Meats,US,---,"$18,433,925.76","269,187"
,2656423,Old Dominion Freight Line Inc,ODFL,0.14%,Cargo Ground Transportation,US,---,"$18,205,568.92","90,431"
,2023748,Hess Corp,HES,0.14%,Oil & Gas Exploration & Production,US,---,"$17,828,551.52","132,574"
,2937667,Waste Management Inc,WM,0.13%,Environmental & Facilities Services,US,---,"$17,771,578.05","82,333"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.13%,Semiconductors,US,---,"$17,759,267.70","23,389"
,BMH4FS1,Constellation Energy Corp,CEG,0.13%,Electric Utilities,US,---,"$17,746,644.48","67,488"
,2380863,WW Grainger Inc,GWW,0.13%,Trading Companies & Distributors,US,---,"$17,717,730.79","15,973"
,2740542,Arch Capital Group Ltd,ACGL,0.13%,Property & Casualty Insurance,US,---,"$17,713,597.44","179,724"
,B55PZY3,Targa Resources Corp,TRGP,0.13%,Oil & Gas Storage & Transportation,US,---,"$17,582,557.60","105,310"
,BP6H4Y1,GE Vernova Inc,GEV,0.13%,Heavy Electrical Equipment,US,---,"$17,096,882.16","56,676"
,2065955,AutoZone Inc,AZO,0.13%,Automotive Retail,US,---,"$17,018,904.00","5,656"
,2130109,ONEOK Inc,OKE,0.13%,Oil & Gas Storage & Transportation,US,---,"$16,827,184.08","173,691"
,B23FN39,Lululemon Athletica Inc,LULU,0.12%,"Apparel, Accessories & Luxury Goods",US,---,"$16,430,376.60","55,154"
,2252058,Moody's Corp,MCO,0.12%,Financial Exchanges & Data,US,---,"$16,020,801.40","35,285"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.12%,Oil & Gas Exploration & Production,US,---,"$15,912,481.86","90,018"
,2160753,CSX Corp,CSX,0.12%,Rail Transportation,US,---,"$15,640,918.00","464,950"
,2457552,Illinois Tool Works Inc,ITW,0.12%,Industrial Machinery & Supplies & Components,US,---,"$15,563,870.26","59,602"
,2352118,Freeport-McMoRan Inc,FCX,0.12%,Copper,US,---,"$15,516,503.16","344,658"
,B4MGBG6,HCA Healthcare Inc,HCA,0.12%,Health Care Facilities,US,---,"$15,348,332.16","42,784"
,2065159,Autodesk Inc,ADSK,0.12%,Application Software,US,---,"$15,279,508.20","53,839"
,2304227,Ecolab Inc,ECL,0.12%,Specialty Chemicals,US,---,"$15,218,058.90","61,930"
,2359506,Arthur J Gallagher & Co,AJG,0.11%,Insurance Brokers,US,---,"$15,067,539.60","53,583"
,2150204,Quanta Services Inc,PWR,0.11%,Construction & Engineering,US,---,"$14,698,731.53","48,731"
,BDT5S35,Axon Enterprise Inc,AXON,0.11%,Aerospace & Defense,US,---,"$14,578,564.00","34,424"
,BL5GZ82,Ingersoll Rand Inc,IR,0.11%,Industrial Machinery & Supplies & Components,US,---,"$14,335,008.00","149,323"
,2209106,Colgate-Palmolive Co,CL,0.11%,Household Products,US,---,"$14,324,604.31","152,861"
,BMGYYH4,Airbnb Inc,ABNB,0.11%,"Hotels, Resorts & Cruise Lines",US,---,"$14,217,110.04","105,476"
,BK4N0D7,Carrier Global Corp,CARR,0.11%,Building Products,US,---,"$14,054,448.96","193,268"
,2965839,CME Group Inc,CME,0.11%,Financial Exchanges & Data,US,---,"$14,002,292.88","62,133"
,2637785,NVR Inc,NVR,0.10%,Homebuilding,US,---,"$13,189,199.21","1,441"
,2708841,PulteGroup Inc,PHM,0.10%,Homebuilding,US,---,"$12,920,747.03","99,751"
,B3K3L40,Marathon Petroleum Corp,MPC,0.10%,Oil & Gas Refining & Marketing,US,---,"$12,843,109.89","88,287"
,B0J7D57,Ameriprise Financial Inc,AMP,0.10%,Asset Management & Custody Banks,US,---,"$12,763,623.60","25,012"
,2909644,Tyler Technologies Inc,TYL,0.09%,Application Software,US,---,"$12,426,101.21","20,519"
,B2972D2,MSCI Inc,MSCI,0.09%,Financial Exchanges & Data,US,---,"$12,269,947.20","21,481"
,BYT3MK1,Fortive Corp,FTV,0.09%,Industrial Machinery & Supplies & Components,US,---,"$11,998,311.39","167,973"
,2967181,Williams Cos Inc/The,WMB,0.09%,Oil & Gas Storage & Transportation,US,---,"$11,965,288.12","228,476"
,2749602,Roper Technologies Inc,ROP,0.09%,Application Software,US,---,"$11,921,474.10","22,170"
,2267278,Deckers Outdoor Corp,DECK,0.09%,Footwear,US,---,"$11,789,053.86","73,274"
,2572079,Martin Marietta Materials Inc,MLM,0.09%,Construction Materials,US,---,"$11,483,103.24","19,386"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.09%,Aerospace & Defense,US,---,"$11,341,255.32","113,731"
,BWFRFC6,GoDaddy Inc,GDDY,0.09%,Internet Services & Infrastructure,US,---,"$11,299,032.00","67,740"
,2592174,Microchip Technology Inc,MCHP,0.08%,Semiconductors,US,---,"$11,131,476.29","151,717"
,2931205,Vulcan Materials Co,VMC,0.08%,Construction Materials,US,---,"$11,124,571.23","40,611"
,2511920,Lennar Corp,LEN,0.08%,Homebuilding,US,---,"$11,079,547.70","65,059"
,2262530,Republic Services Inc,RSG,0.08%,Environmental & Facilities Services,US,---,"$11,072,556.00","55,922"
,BMX5GK7,Corpay Inc,CPAY,0.08%,Transaction & Payment Processing Services,US,---,"$10,999,788.92","33,361"
,B03GQS4,Digital Realty Trust Inc,DLR,0.08%,Data Center REITs,US,---,"$10,778,281.02","60,474"
,2950482,West Pharmaceutical Services Inc,WST,0.08%,Life Sciences Tools & Services,US,---,"$10,733,208.08","34,856"
,2332262,Fastenal Co,FAST,0.08%,Trading Companies & Distributors,US,---,"$10,723,794.24","137,168"
,BZ07BW4,Monster Beverage Corp,MNST,0.08%,Soft Drinks & Non-alcoholic Beverages,US,---,"$10,681,028.04","202,753"
,2852533,Public Storage,PSA,0.08%,Self-Storage REITs,US,---,"$10,439,757.56","31,726"
,B4P9W92,Verisk Analytics Inc,VRSK,0.08%,Research & Consulting Services,US,---,"$10,314,637.12","37,546"
,2651086,Nucor Corp,NUE,0.08%,Steel,US,---,"$10,161,843.12","71,643"
,B1W9D46,Delta Air Lines Inc,DAL,0.07%,Passenger Airlines,US,---,"$9,875,657.02","172,591"
